p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.7784372574497324e-11,0.7840628312843066,0.363,0.232,1.0169358205991766e-6,0,LINC00623
4.4078906543320996e-11,0.4689001753944153,0.695,0.569,1.6133320583920919e-6,0,ZFP36L2
4.620372305520067e-11,0.893545243493041,0.261,0.15,1.6911024675433995e-6,0,CDKN2AIP
7.423959900803327e-11,0.5739594387093605,0.481,0.35,2.7172435632930257e-6,0,SMARCA5
8.237719494556438e-11,0.7566007229067259,0.384,0.249,3.015087712202602e-6,0,CCR7
8.579712322649308e-11,0.3883814635824856,0.719,0.578,3.140260507212873e-6,0,GGNBP2
6.295680879236336e-10,0.615873284523507,0.284,0.171,2.304282158609291e-5,0,ILF3-DT
6.874203243686386e-10,0.6265788299088358,0.53,0.385,2.516027129221654e-5,0,WDR74
7.935775443983602e-10,0.544382083060297,0.494,0.356,2.904573170252438e-5,0,HNRNPF
8.382608683404564e-10,0.6258281527417324,0.342,0.219,3.068118604212904e-5,0,AL121603.2
9.258529659079837e-10,0.5282873853837663,0.332,0.209,3.388714440519811e-5,0,NDE1
1.4537351817043118e-9,0.34737498152791346,0.828,0.749,5.3208161385559514e-5,0,UBB
3.6985249573102137e-9,0.4684565462735773,0.405,0.274,1.3536971196251112e-4,0,COCH
4.3039183153592175e-9,0.7266080989862931,0.335,0.222,1.5752771426046273e-4,0,LPXN
5.209185844115073e-9,0.32215367949945484,0.798,0.68,1.906614110804558e-4,0,SBDS
6.05078870779038e-9,0.3936969424798047,0.601,0.448,2.214649174938357e-4,0,DDX39A
8.710683100991278e-9,0.5994063245344651,0.397,0.284,3.1881971217938174e-4,0,HOOK2
1.1537337258913836e-8,0.46447334675407337,0.643,0.543,4.222780810135053e-4,0,WSB1
1.3368711439093063e-8,0.5954106920663492,0.304,0.194,4.893082073822452e-4,0,IFFO2
1.454033478541521e-8,0.655564127432848,0.364,0.253,5.321907934809821e-4,0,AIMP1
1.6542283298474103e-8,0.3335505838612909,0.803,0.704,6.054641110074506e-4,0,NCL
2.3062204683388766e-8,0.7610745181269362,0.292,0.19,8.440997536167123e-4,0,RLIM
2.5256508290930755e-8,0.36721940125272967,0.707,0.618,9.244134599563565e-4,0,SNHG5
2.7805028771793296e-8,0.6285525331945784,0.271,0.168,0.0010176918580764064,0,NPAT
3.063201568202646e-8,0.4465176616015123,0.501,0.376,0.0011211624059778505,0,DNAAF2
4.255867909984776e-8,0.4767359504359372,0.432,0.313,0.0015576902137335279,0,PRR7
4.811504896363444e-8,0.3769064463211371,0.698,0.577,0.001761058907117984,0,IRF1
4.8969195428971034e-8,0.40108519765732686,0.668,0.553,0.0017923215218957687,0,BZW1
6.737240819715718e-8,0.5424036562218927,0.406,0.293,0.00246589751242415,0,TNFAIP3
1.1052058388021636e-7,0.5494066507842541,0.364,0.257,0.004045163890599799,0,SINHCAF
1.2357274972959636e-7,0.5602665577089254,0.322,0.219,0.004522886212852957,0,AC009313.1
1.361047684069507e-7,0.33055813442612125,0.562,0.435,0.004981570628462803,0,SELL
1.6228288660489805e-7,0.5931158129687506,0.251,0.159,0.005939715932625874,0,TCF7
1.6617074214447113e-7,0.301885198142243,0.794,0.737,0.006082015333229788,0,SFPQ
1.9478046364964453e-7,0.6401535054612209,0.254,0.165,0.007129159750040639,0,NOP56
1.9887063677358723e-7,0.4514903336085301,0.304,0.2,0.007278864176550067,0,TRAF5
2.276553165534028e-7,0.37925078940290075,0.526,0.414,0.008332412241171096,0,PSIP1
2.639688403107215e-7,0.46488875591194545,0.485,0.379,0.009661523524212718,0,CTNNB1
2.7208649169196496e-7,0.3847955314659188,0.522,0.404,0.00995863768241761,0,ZFAND5
2.9787392060719963e-7,0.5148779214918037,0.275,0.183,0.010902483368144113,0,SLC9A8
4.3103572181707187e-7,0.2845546575742919,0.38,0.264,0.015776338454226647,0,CHMP1B
5.182339418864123e-7,0.38956212810368807,0.444,0.331,0.018967880506984575,0,ZNF24
5.212874680700983e-7,0.617494406641584,0.276,0.184,0.019079642618833666,0,SRSF6
6.028540096295998e-7,0.2541393340030176,0.869,0.803,0.022065059606452983,0,DDX24
6.535484091568697e-7,0.4325496698378306,0.275,0.179,0.023920525323550587,0,SFSWAP
6.885362439093529e-7,0.4044411085221502,0.512,0.392,0.025201115063326226,0,PIM2
7.877353849630365e-7,0.4397308254188345,0.296,0.201,0.028831902825032098,0,AC007384.1
9.361821648900157e-7,0.3690110020504357,0.348,0.248,0.03426520341713946,0,SAMD4A
1.1285215846181227e-6,0.4746576093275658,0.268,0.175,0.04130501851860791,0,RABL3
1.4855795428878162e-6,0.5543310588149017,0.378,0.284,0.054373696849236965,0,DDIT3
1.8179431783999665e-6,0.26814860453459,0.786,0.696,0.06653853827261717,0,SAT1
1.9048614741176056e-6,0.4382736400381923,0.405,0.304,0.06971983481417848,0,STX5
2.5572471978134136e-6,0.4506132971724686,0.367,0.271,0.09359780468716876,0,NECAP2
2.595235200511955e-6,0.4391702136500757,0.36,0.259,0.09498820357393807,0,TRIM28
2.662049980553863e-6,0.3040434064294928,0.555,0.447,0.09743369133825194,0,GLS
2.7029345749729387e-6,0.482343841984533,0.344,0.247,0.09893010837858453,0,ZNF706
2.7162353651434664e-6,0.3931986318951298,0.401,0.295,0.09941693059961601,0,PCF11
2.844660435154643e-6,0.46222307195542556,0.388,0.291,0.10411741658709509,0,CHMP4A
3.1290763731837913e-6,0.27973302867636773,0.669,0.562,0.11452732433489994,0,RBMX
4.017495564961497e-6,0.42665375052300686,0.409,0.312,0.14704435517315576,0,MORF4L2
5.144431267451123e-6,0.4165918195332549,0.427,0.33,0.18829132881997857,0,ITPR1
5.274734276041641e-6,0.5066828611179348,0.259,0.176,0.1930605492374001,0,XPC
5.413779726225933e-6,0.595117998229859,0.284,0.198,0.19814975175959537,0,TP53BP2
6.191146831618595e-6,0.5433490284413778,0.277,0.192,0.2266021651840722,0,FAM117A
6.796585024565283e-6,0.4331812486924325,0.331,0.241,0.24876180848411392,0,STAT6
9.9590127731173e-6,0.4008130342332177,0.264,0.182,0.3645098265088663,0,AHR
1.0008944331055364e-5,0.33718024196268104,0.44,0.333,0.36633737146095735,0,BUD31
1.1160467481570246e-5,0.49723788513153294,0.347,0.262,0.4084842702929526,0,SERPINB9
1.2195892318290449e-05,0.2612973126593736,0.58,0.467,0.44638185474174874,0,CLK1
1.302930194520249e-5,0.3877695275552993,0.373,0.278,0.4768854804963564,0,HBP1
1.4914428171308233e-5,0.6089941104080993,0.317,0.234,0.5458829854980527,0,PAF1
1.5836756038584726e-5,0.3837183555595731,0.627,0.546,0.5796411077682395,0,PELI1
1.796483970200768e-5,0.3143124324797567,0.553,0.455,0.6575310979331831,0,TAF7
2.134891194043207e-5,0.3053416049113393,0.631,0.555,0.7813915259317542,0,SF3B5
2.1906184122822637e-5,0.2966691305299428,0.589,0.483,0.8017882450794314,0,TAF1D
2.725269043115e-5,0.3871592340504745,0.33,0.243,0.9974757224705211,0,PPP1R11
2.727402051027615e-5,0.2964857242085376,0.518,0.418,0.9982564246966174,0,PRPF38B
2.933558837687086e-5,0.3085654836405409,0.64,0.556,1,0,EIF4G2
3.015527334916709e-5,0.2822789861709223,0.51,0.401,1,0,SEPTIN1
5.923285624065435e-5,0.4374211894202892,0.314,0.235,1,0,BEX2
6.657432979081639e-5,0.3764246627776751,0.319,0.237,1,0,FXYD1
